品詞,単語,出現回数
名詞,ai,63
名詞,開発,58
名詞,機能,49
名詞,調達,39
名詞,技術,35
名詞,アプリ,35
名詞,apple,34
名詞,発表,34
名詞,Google,33
名詞,システム,31
名詞,サービス,28
名詞,登場,28
名詞,ロボット,27
名詞,iot,26
名詞,スマホ,26
名詞,向け,24
名詞,ドル,23
名詞,ユーザー,23
名詞,日本,22
名詞,買収,21
名詞,pc,21
名詞,ios 12,19
名詞,facebook,19
名詞,Amazon,19
名詞,公開,19
名詞,対応,19
名詞,wwdc,18
名詞,導入,18
名詞,提供,18
名詞,microsoft,17
名詞,デジタル,17
名詞,社,17
名詞,中国,17
名詞,開始,17
名詞,可能,17
名詞,データ,16
名詞,無料,16
名詞,ツール,15
名詞,利用,15
名詞,理由,15
名詞,世界,15
名詞,iPhone,15
名詞,ゲーム,15
名詞,ar,13
名詞,パナソニック,13
名詞,米,13
名詞,広告,13
名詞,型,13
名詞,カメラ,13
名詞,github,12
名詞,スタートアップ,12
名詞,line,12
名詞,米国,12
名詞,大手,12
名詞,自動,12
名詞,企業,12
名詞,対策,12
名詞,テスト,12
名詞,ーー,12
名詞,プラットフォーム,11
名詞,アップル,11
名詞,ドローン,11
名詞,拡大,11
名詞,通信,11
名詞,会社,11
名詞,rpa,10
名詞,開発中,10
名詞,資金調達,10
名詞,自動運転,10
名詞,スマート,10
名詞,プロジェクト,10
名詞,市場,10
名詞,クラウド,10
名詞,活用,10
名詞,仮想通貨,10
名詞,ビデオ,10
名詞,実現,10
名詞,投資,10
名詞,新た,10
名詞,運営,10
名詞,発売,10
名詞,動画,10
名詞,interview,9
名詞,新サービス,9
名詞,Alexa,9
名詞,ios,9
名詞,みずほ,9
名詞,Instagram,9
名詞,レシート,9
名詞,搭載,9
名詞,電子,9
名詞,ビジネス,9
名詞,最新,9
名詞,管理,9
名詞,アメリカ,9
名詞,モデル,9
名詞,使用,9
名詞,サポート,9
名詞,上,9
名詞,3d,8
名詞,アルゴリズム,8
名詞,android,8
名詞,デバイス,8
名詞,モバイル,8
名詞,分析,8
名詞,セキュリティ,8
名詞,リリース,8
